Date,TA_F_avg,VPD_F_avg,P_F_sum,SWC,PAR
2015-09-09,0,0,0,0,0
2015-09-10,0,0,0,0,0
2015-09-11,4.70000016,4.70000016,4.70000016,4.70000016,4.70000016
2015-09-12,0.10000008,0.10000008,0.10000008,0.10000008,0.10000008
2015-09-13,0,0,0,0,0
2015-09-14,0,0,0,0,0
2015-09-15,0,0,0,0,0
2015-09-16,0,0,0,0,0
2015-09-17,0,0,0,0,0
2015-09-18,0,0,0,0,0
2015-09-19,0,0,0,0,0
2015-09-20,0,0,0,0,0
2015-09-21,0,0,0,0,0
2015-09-22,0,0,0,0,0
2015-09-23,0,0,0,0,0
2015-09-24,0,0,0,0,0
2015-09-25,0,0,0,0,0
2015-09-26,0,0,0,0,0
2015-09-27,0,0,0,0,0
2015-09-28,0,0,0,0,0
2015-09-29,0,0,0,0,0
2015-09-30,0,0,0,0,0
2015-10-01,30.899997,30.899997,30.899997,30.899997,30.899997
2015-10-02,0,0,0,0,0
2015-10-03,0,0,0,0,0
2015-10-04,0,0,0,0,0
2015-10-05,0,0,0,0,0
2015-10-06,0,0,0,0,0
2015-10-07,0,0,0,0,0
2015-10-08,0,0,0,0,0
2015-10-09,0,0,0,0,0
2015-10-10,10.30000068,10.30000068,10.30000068,10.30000068,10.30000068
2015-10-11,0.90000144,0.90000144,0.90000144,0.90000144,0.90000144
2015-10-12,0,0,0,0,0
2015-10-13,0,0,0,0,0
2015-10-14,0,0,0,0,0
2015-10-15,0,0,0,0,0
2015-10-16,0,0,0,0,0
2015-10-17,0,0,0,0,0
2015-10-18,0,0,0,0,0
2015-10-19,0,0,0,0,0
2015-10-20,0,0,0,0,0
2015-10-21,0,0,0,0,0
2015-10-22,0,0,0,0,0
2015-10-23,0,0,0,0,0
2015-10-24,4.09999896,4.09999896,4.09999896,4.09999896,4.09999896
2015-10-25,0,0,0,0,0
2015-10-26,0,0,0,0,0
2015-10-27,14.20000056,14.20000056,14.20000056,14.20000056,14.20000056
2015-10-28,0,0,0,0,0
2015-10-29,6.3,6.3,6.3,6.3,6.3
2015-10-30,0,0,0,0,0
2015-10-31,0,0,0,0,0
2015-11-01,0,0,0,0,0
2015-11-02,0,0,0,0,0
2015-11-03,0,0,0,0,0
2015-11-04,0,0,0,0,0
2015-11-05,0,0,0,0,0
2015-11-06,4.4999982,4.4999982,4.4999982,4.4999982,4.4999982
2015-11-07,32.09999976,32.09999976,32.09999976,32.09999976,32.09999976
2015-11-08,23.09999976,23.09999976,23.09999976,23.09999976,23.09999976
2015-11-09,6.00000228,6.00000228,6.00000228,6.00000228,6.00000228
2015-11-10,0,0,0,0,0
2015-11-11,0,0,0,0,0
2015-11-12,0,0,0,0,0
2015-11-13,21.89999988,21.89999988,21.89999988,21.89999988,21.89999988
2015-11-14,12.20000004,12.20000004,12.20000004,12.20000004,12.20000004
2015-11-15,0.80000064,0.80000064,0.80000064,0.80000064,0.80000064
2015-11-16,11.799999,11.799999,11.799999,11.799999,11.799999
2015-11-17,1.90000008,1.90000008,1.90000008,1.90000008,1.90000008
2015-11-18,4.19999976,4.19999976,4.19999976,4.19999976,4.19999976
2015-11-19,0.50000076,0.50000076,0.50000076,0.50000076,0.50000076
2015-11-20,0.10000008,0.10000008,0.10000008,0.10000008,0.10000008
2015-11-21,0,0,0,0,0
2015-11-22,3.0999996,3.0999996,3.0999996,3.0999996,3.0999996
2015-11-23,12.29999868,12.29999868,12.29999868,12.29999868,12.29999868
2015-11-24,0.1999998,0.1999998,0.1999998,0.1999998,0.1999998
2015-11-25,14.39999928,14.39999928,14.39999928,14.39999928,14.39999928
2015-11-26,0,0,0,0,0
2015-11-27,0,0,0,0,0
2015-11-28,0.10000008,0.10000008,0.10000008,0.10000008,0.10000008
2015-11-29,5.29999992,5.29999992,5.29999992,5.29999992,5.29999992
2015-11-30,0.60000084,0.60000084,0.60000084,0.60000084,0.60000084
2015-12-01,0,0,0,0,0
2015-12-02,12.90000024,12.90000024,12.90000024,12.90000024,12.90000024
2015-12-03,0,0,0,0,0
2015-12-04,0.29999988,0.29999988,0.29999988,0.29999988,0.29999988
2015-12-05,11.29999824,11.29999824,11.29999824,11.29999824,11.29999824
2015-12-06,0,0,0,0,0
2015-12-07,0,0,0,0,0
2015-12-08,0,0,0,0,0
2015-12-09,0,0,0,0,0
2015-12-10,0.70000092,0.70000092,0.70000092,0.70000092,0.70000092
2015-12-11,0,0,0,0,0
2015-12-12,0,0,0,0,0
2015-12-13,0,0,0,0,0
2015-12-14,3.40000308,3.40000308,3.40000308,3.40000308,3.40000308
2015-12-15,0.10000008,0.10000008,0.10000008,0.10000008,0.10000008
2015-12-16,0,0,0,0,0
2015-12-17,0,0,0,0,0
2015-12-18,0,0,0,0,0
2015-12-19,0,0,0,0,0
2015-12-20,0,0,0,0,0
2015-12-21,5.60000196,5.60000196,5.60000196,5.60000196,5.60000196
2015-12-22,0.1999998,0.1999998,0.1999998,0.1999998,0.1999998
2015-12-23,0.30000024,0.30000024,0.30000024,0.30000024,0.30000024
2015-12-24,0,0,0,0,0
2015-12-25,0,0,0,0,0
2015-12-26,0.29999988,0.29999988,0.29999988,0.29999988,0.29999988
2015-12-27,0,0,0,0,0
2015-12-28,0,0,0,0,0
2015-12-29,0,0,0,0,0
2015-12-30,0,0,0,0,0
2015-12-31,2.2000014,2.2000014,2.2000014,2.2000014,2.2000014
2016-01-01,-0.6878125,0.109579268,0.033333333,20.14097222,87.66715385
2016-01-02,4.234583333,0.178177682,0,20.1125,61.93010467
2016-01-03,6.502020833,0.157271877,0,20.08958333,96.71086553
2016-01-04,2.699071152,0.35037033,0,20.00138889,140.0917144
2016-01-05,-2.806395833,0.313593402,0,19.91805556,180.7388181
2016-01-06,-2.20125,0.230798029,0,19.88541667,130.9817707
2016-01-07,-3.416270833,0.236108432,0,19.59027778,237.7227204
2016-01-08,-3.843604167,0.237030088,0,19.49375,236.7902411
2016-01-09,-2.084458333,0.220260743,0,19.46805556,237.3248659
2016-01-10,0.182958333,0.336252524,0,19.46180556,199.5646653
2016-01-11,-3.4124375,0.320977608,0,19.36944444,238.3993428
2016-01-12,-5.128208333,0.238443081,0,19.25833333,237.9458581
2016-01-13,-4.983083333,0.135304394,0,19.175,189.7463082
2016-01-14,-4.779270833,0.20785052,0.333333333,19.13472222,230.3543052
2016-01-15,-1.915541667,0.130809893,1.9,19.18402778,148.043315
2016-01-16,-0.8256875,0.177362649,0.233333333,19.18611111,123.8434017
2016-01-17,0.906729167,0.209235862,0.033333333,19.22569444,100.6277339
2016-01-18,-5.235854167,0.163305764,0.033333333,19.27569444,212.3113819
2016-01-19,-13.01458333,0.131953274,0,19.00902778,272.1089764
2016-01-20,-11.41470833,0.14113581,0,18.65486111,208.3801451
2016-01-21,-8.161104167,0.174529101,0,18.42847222,181.7911059
2016-01-22,-7.426125,0.210512479,0,18.16944444,214.4314765
2016-01-23,-10.97025,0.1750921,0,17.90416667,262.4645446
2016-01-24,-15.16729167,0.111769898,0,17.41875,264.0160048
2016-01-25,-10.47025,0.148145413,0,16.98819444,271.7792571
2016-01-26,-5.515833333,0.106070582,0.1,16.76527778,119.5144857
2016-01-27,-1.037791667,0.244850746,0,16.76736111,216.000217
2016-01-28,-1.2295,0.237168173,0,16.83402778,140.8962126
2016-01-29,2.0565625,0.404694979,0,17.00833333,103.2494231
2016-01-30,1.544541667,0.259253982,0,17.20138889,215.5325482
2016-01-31,-3.586916667,0.265794003,0,17.36388889,249.3397994
2016-02-01,-6.227083333,0.248593553,0,17.34444444,285.3233648
2016-02-02,-5.795854167,0.245991321,0,17.17013889,294.085028
2016-02-03,-3.80975,0.231366979,0,16.98333333,270.1873854
2016-02-04,-0.909104167,0.242912357,0,16.96111111,256.4466562
2016-02-05,-2.747770833,0.315930667,0,16.78541667,244.2891381
2016-02-06,-3.249375,0.275904069,0,16.75277778,300.088507
2016-02-07,-3.95775,0.25818551,0,16.67569444,306.8980129
2016-02-08,-0.404833333,0.208275219,0.166666667,16.68055556,131.4066078
2016-02-09,0.145354167,0.314089335,0.033333333,16.76875,291.8844238
2016-02-10,1.973395833,0.382725949,0,16.85138889,309.1979735
2016-02-11,7.482645833,0.747764023,0,17.03541667,214.8799412
2016-02-12,8.014041667,0.113748226,21.36666667,19.28958333,18.64519198
2016-02-13,11.44583333,0.027253598,19.96666667,23.15902778,60.00849074
2016-02-14,-1.989291667,0.110048289,1.133333333,23.35,112.5378773
2016-02-15,-6.879729167,0.197021062,0.033333333,21.78680556,348.5740596
2016-02-16,-3.527375,0.138707319,1,21.18541667,126.2565249
2016-02-17,-0.794270833,0.308397677,0.066666667,20.925,331.6100612
2016-02-18,2.135729167,0.225796614,0,20.80625,196.8277859
2016-02-19,2.1054375,0.227726635,0,20.76944444,101.992469
2016-02-20,1.743604167,0.444285412,0,20.69236111,307.1754013
2016-02-21,-1.190875,0.375688289,0,20.4875,341.949827
2016-02-22,0.250833333,0.424640802,0,20.30972222,161.633962
2016-02-23,0.355145833,0.26740785,0.433333333,20.18680556,319.2975444
2016-02-24,-3.985083333,0.24825286,0,20.07708333,370.0216507
2016-02-25,-1.423541667,0.272435589,0,19.97361111,275.7603031
2016-02-26,1.3303125,0.386129791,0.2,19.95555556,357.5636284
2016-02-27,1.4014375,0.140677247,6.8,20.01736111,186.2355719
2016-02-28,0.632354167,0.194863367,0.3,20.38263889,88.58597249
2016-02-29,-4.1336875,0.230363645,0.366666667,20.40625,252.8371192
2016-03-01,-3.847708333,0.261737323,0.8,20.24583333,383.7471841
2016-03-02,0.509020833,0.163997358,0,20.31458333,214.5368592
2016-03-03,5.403104167,0.255749585,0,20.80486111,244.2412174
2016-03-04,10.56310417,0.481977427,1.866666667,20.81944444,314.7584932
2016-03-05,10.59583333,0.051907778,50.56666667,23.81805556,56.85465105
2016-03-06,8.3413125,0.443187918,0.033333333,24.50347222,351.6282766
2016-03-07,7.726729167,0.629278783,0,22.94513889,112.7251307
2016-03-08,3.346604167,0.496620478,0,22.04583333,159.4855125
2016-03-09,0.096083333,0.376318799,0,21.12777778,405.5267625
2016-03-10,-1.5578125,0.350357628,0,20.78819444,432.111071
2016-03-11,-1.506479167,0.324701848,0,20.55625,434.878099
2016-03-12,0.695166667,0.286067252,0,20.41111111,300.6857772
2016-03-13,2.671520833,0.276275794,0,20.30555556,141.9048046
2016-03-14,3.641625,0.299751493,0,20.19652778,311.0409056
2016-03-15,5.0151875,0.568451155,0,20.09861111,420.1075586
2016-03-16,6.754666667,0.577341836,0,19.96944444,400.7882977
2016-03-17,8.778708333,0.76134606,0,19.87430556,322.1542003
2016-03-18,12.35958333,0.745739513,0,19.78819444,270.8974449
2016-03-19,10.98452083,0.507625441,0,19.69444444,345.0833546
2016-03-20,8.513833333,0.451149543,0,19.60416667,327.1522381
2016-03-21,9.069520833,0.540232588,0,19.53958333,417.5813341
2016-03-22,7.334354167,0.531272195,0,19.46527778,427.874015
2016-03-23,6.789625,0.425484596,0,19.41666667,316.2507431
2016-03-24,5.676895833,0.537963439,0,19.34236111,452.4330915
2016-03-25,5.113916667,0.449259341,0,19.28125,337.4968778
2016-03-26,5.0694375,0.425152696,0,19.21944444,330.9186229
2016-03-27,5.699291667,0.464328032,0,19.17291667,436.7158955
2016-03-28,8.378104167,0.663065346,0,19.13263889,459.7740099
2016-03-29,10.56797917,0.580618849,0,19.09444444,302.2120402
2016-03-30,10.79089583,0.601451767,0,19.02291667,457.0594341
2016-03-31,13.10202083,1.139526848,0,18.97013889,352.536207
2016-04-01,15.89833333,1.387770721,0,18.93263889,475.9317582
2016-04-02,14.85395833,1.130294578,0,18.84722222,452.804724
2016-04-03,10.20729167,0.301147841,0.033333333,18.77708333,101.5907071
2016-04-04,11.49314583,0.635946517,0,18.75972222,503.1757237
2016-04-05,10.50366667,0.831487235,0,18.68680556,517.1219592
2016-04-06,13.06810417,0.951981145,3.297226115,18.67291667,390.1910037
2016-04-07,12.50666667,0.333554363,9.174461573,20.36388889,382.1508073
2016-04-08,11.25935417,0.316546218,0,20.27708333,455.1631402
2016-04-09,11.501125,0.180478432,0,20.04166667,232.3744123
2016-04-10,13.50604167,0.355427099,0,19.88888889,390.4431594
2016-04-11,10.87220833,0.652785012,0,19.75486111,523.4196794
2016-04-12,11.90083333,0.695319422,0,19.62847222,398.2738842
2016-04-13,13.591875,0.357309007,2.061118897,19.54583333,206.7676137
2016-04-14,13.02520833,0.417770026,0,19.48958333,496.0688259
2016-04-15,14.3175,0.913949655,0,19.37569444,534.6803855
2016-04-16,14.36645833,0.744252634,24.0417017,19.61666667,243.7826394
2016-04-17,10.41777083,0.381570776,18.55614459,23.38472222,321.196697
2016-04-18,10.29970833,0.476358242,4.59445223,21.75208333,472.3279209
2016-04-19,10.71091667,0.500522848,0,21.44236111,557.5490529
2016-04-20,12.628125,0.642669287,0.3,20.94027778,295.7281971
2016-04-21,12.41333333,0.148533892,15.82113758,22.01805556,147.4057599
2016-04-22,14.34479167,0.273811939,0.033333333,21.70972222,413.6235062
2016-04-23,12.68747917,0.672132881,0,21.07569444,377.8096607
2016-04-24,14.29479167,1.096536083,0,20.66944444,515.6166739
2016-04-25,17.04229167,1.255814545,0,20.32291667,532.0583417
2016-04-26,20.15125,1.514115555,0,20.05069444,516.3230247
2016-04-27,14.78604167,0.964744656,0,19.79583333,117.8333979
2016-04-28,15.0675,1.047223666,0,19.59513889,434.7432881
2016-04-29,14.74979167,0.835671404,0.733333333,19.38819444,524.387991
2016-04-30,14.87416667,0.780804227,0,18.96666667,359.2875586
2016-05-01,17.86916667,1.265513364,0,18.61805556,493.5718644
2016-05-02,19.16583333,0.77992839,12.36666667,18.52638889,450.4318789
2016-05-03,12.50283333,0.090071926,34.36666667,23.02916667,36.26623048
2016-05-04,14.30895833,0.889622772,0.033333333,22.37777778,619.2632323
2016-05-05,16.89145833,1.029362278,1.5,21.27638889,573.1577304
2016-05-06,15.83395833,0.296829821,2,20.96666667,76.90490959
2016-05-07,14.61708333,0.610382272,0,20.88611111,584.2531289
2016-05-08,17.57708333,1.027935632,0,20.55833333,577.0944249
2016-05-09,19.04104167,1.33651609,0,20.22430556,409.5977599
2016-05-10,13.41416667,0.294759624,15.53333333,21.50555556,105.1261607
2016-05-11,15.59041667,0.681933911,0,21.95694444,608.6782846
2016-05-12,16.8875,0.767454011,0,21.28194444,606.8895643
2016-05-13,16.3325,0.607266705,0.033333333,20.83402778,506.1289933
2016-05-14,18.45416667,1.088146441,0,20.45,604.9767414
2016-05-15,17.22604167,0.57455273,23.16666667,21.11111111,379.0836639
2016-05-16,14.20875,0.666273114,4.3,23.36944444,601.0409621
2016-05-17,17.449375,0.95738771,0,21.89861111,611.1810223
2016-05-18,21.480625,1.62113403,0,21.27013889,621.259502
2016-05-19,22.70645833,1.735443661,0,20.77013889,624.7458218
2016-05-20,23.02541667,1.900280221,0,20.31111111,615.2827039
2016-05-21,22.71041667,2.142425838,0,19.89861111,615.5692261
2016-05-22,22.49583333,1.815970998,0,19.50277778,620.025325
2016-05-23,21.899375,1.595756195,0,19.08958333,499.5667288
2016-05-24,15.973125,0.301116532,33.93333333,23.28055556,195.7939613
2016-05-25,17.18916667,0.443011233,0,22.17291667,423.9251053
2016-05-26,18.43979167,0.558688359,0,21.46319444,279.4833308
2016-05-27,19.52916667,0.817975169,0,21.00972222,485.5119755
2016-05-28,20.22041667,0.941344706,0,20.61388889,540.7701242
2016-05-29,19.42333333,0.890102522,0,20.28055556,434.6499594
2016-05-30,20.146875,0.882257868,0,19.98263889,594.2301471
2016-05-31,20.03979167,0.693025292,0,19.67430556,553.6791851
2016-06-01,20.831875,1.103531851,0,19.34652778,576.3365851
2016-06-02,21.195625,1.417470891,0,19.00069444,567.9320658
2016-06-03,20.88166667,1.230718262,0,18.64652778,599.4745558
2016-06-04,19.29,0.891761155,0,18.32222222,234.6855373
2016-06-05,22.06833333,1.09430744,0,18.04097222,592.0183977
2016-06-06,20.09208333,0.906084616,0,17.43125,418.3697724
2016-06-07,20.10895833,0.565572815,0,16.98958333,292.1875232
2016-06-08,19.70708333,0.53688024,0,16.75277778,450.8817055
2016-06-09,21.92520833,0.875899433,0,16.41944444,556.0616186
2016-06-10,22.883125,0.837400606,0,16.07777778,512.1412537
2016-06-11,22.210625,0.606411564,0,15.78333333,237.35355
2016-06-12,22.97708333,0.545283625,0,15.53611111,261.1648211
2016-06-13,22.021875,0.57116931,0,15.27222222,442.4782736
2016-06-14,21.93395833,0.655568784,0,14.97083333,487.1038285
2016-06-15,19.65020833,0.326124146,9.2,15.78680556,223.1063912
2016-06-16,19.54229167,0.437995917,0,16.14861111,384.8959489
2016-06-17,21.274375,0.666353755,0,15.77777778,565.2122141
2016-06-18,23.02291667,1.019768623,0,15.31666667,567.3404512
2016-06-19,22.66895833,0.834038155,0,14.88472222,485.586032
2016-06-20,23.01020833,0.782268625,0,14.48333333,448.8185865
2016-06-21,24.43604167,1.056750533,0,14.09027778,443.3052039
2016-06-22,23.66604167,0.706931898,0.933333333,13.7375,373.758968
2016-06-23,23.37354167,0.652797256,0.4,13.49027778,359.9149146
2016-06-24,20.82458333,0.307333545,5.933333333,14.2625,250.9241986
2016-06-25,20.89354167,0.725713362,0,14.02291667,567.9474883
2016-06-26,22.09541667,0.8102866,0,13.54930556,613.2172552
2016-06-27,22.49708333,0.947461986,0,13.14652778,373.2204922
2016-06-28,22.974375,0.916579262,0,12.78263889,547.3831813
2016-06-29,23.14958333,0.889905608,0,12.43333333,443.2607342
2016-06-30,23.37416667,0.386514792,0.066666667,12.16666667,338.8960503
2016-07-01,22.86,0.121738646,78.2,15.90347222,84.31523542
2016-07-02,22.29708333,0.248459089,3.433333333,21.44583333,225.9476546
2016-07-03,21.73145833,0.437802218,0,20.27777778,244.3300405
2016-07-04,20.09083333,0.052320679,71.43333333,22.69861111,48.01956172
2016-07-05,22.84666667,0.011572643,47.6,26.53402778,68.47849865
2016-07-06,21.71291667,0.24799474,2.433333333,24.30416667,270.8358681
2016-07-07,22.34354167,0.430393803,0,22.61458333,313.2953601
2016-07-08,25.38333333,0.828054219,0,21.45833333,526.4346005
2016-07-09,26.48708333,1.039796145,0,20.60555556,577.4567147
2016-07-10,25.71770833,0.784450841,0,20.02291667,446.7358501
2016-07-11,26.74666667,1.009642354,10.36666667,19.76041667,486.799176
2016-07-12,23.97020833,0.420813052,6.9,21.76597222,327.982462
2016-07-13,24.28479167,0.71748267,0,20.96388889,380.3265508
2016-07-14,24.61958333,0.639340562,0.233333333,20.35138889,365.182758
2016-07-15,23.94854167,0.918004038,0.333333333,19.86527778,345.5345038
2016-07-16,19.45041667,-0.001110835,62.13333333,24.64375,37.74464812
2016-07-17,20.24583333,0.064115047,6.033333333,24.26944444,212.2493926
2016-07-18,21.803125,0.339146352,0,22.40972222,307.0248867
2016-07-19,24.474375,0.718029705,0,21.31805556,579.5515448
